name,wins,splits,losses,calc,cactus
T3s,909895095,97076852,1090600453,0.456925,7410
76s,898379280,106652749,1092540371,0.453718,7461
J3o,901258949,96856769,1099456682,0.452755,7341
87o,895522755,98901298,1103148347,0.450508,7453
T2s,892310673,96459882,1108801845,0.448395,7410
85s,880780296,107166353,1109625751,0.445450,7458
96o,883149152,100178053,1114245195,0.444913,7443
J2o,882013792,96454849,1119103759,0.443485,7341
T5o,877990854,100409701,1119171845,0.442509,7410
94s,868544377,102984434,1126043589,0.438620,7444
75s,859564300,113123404,1124884696,0.436755,7462
T4o,861166500,102727325,1133678575,0.435041,7410
93s,855951949,103094363,1138526088,0.432643,7444
86o,853640324,106737798,1137194278,0.432409,7457
65s,846332445,116843119,1134396836,0.431334,7460
84s,841184813,109025471,1147362116,0.427016,7458
95o,841896769,106238788,1149436843,0.426691,7444
T3o,842284099,102334887,1152953414,0.425946,7410
92s,838461663,102454551,1156656186,0.424152,7444
76o,831767413,111965689,1153839298,0.423227,7461
74s,820337671,114963889,1162270840,0.418493,7462
T2o,823068840,101909963,1172593597,0.416684,7410
54s,808247748,122535513,1166789139,0.414534,7462
85o,812626207,112692288,1172253905,0.414275,7458
64s,807166360,119659864,1170746176,0.413333,7461
83s,803004465,108693752,1185874183,0.408735,7458
94o,798877137,108455313,1190239950,0.406711,7444
75o,790253778,119028199,1188290423,0.405120,7462
82s,790348964,108755450,1198467986,0.402716,7458
73s,782469104,114627274,1200476022,0.400359,7462
93o,785077590,108721395,1203773415,0.400195,7444
65o,776369338,122982645,1198220417,0.399443,7460
53s,771039857,123097534,1203435009,0.396930,7462
63s,769503449,119483186,1208585765,0.395336,7461
84o,770001459,114847103,1212723838,0.394468,7458
92o,765970787,108273467,1223328146,0.390979,7444
43s,749407203,122271282,1225893915,0.386419,7462
74o,748030580,121159938,1228381882,0.385498,7462
72s,743376257,113942467,1240253676,0.381559,7462
54o,735719749,129230044,1232622607,0.381553,7462
64o,734213031,126168959,1237190410,0.380105,7461
52s,732672291,122489533,1242410576,0.378493,7462
62s,730742786,118782017,1248047597,0.376690,7461
83o,728903246,114693723,1253975431,0.374838,7458
42s,711453440,122123616,1263995344,0.368290,7462
82o,714995931,114982393,1267594076,0.368277,7458
73o,707257588,121002505,1269312307,0.366023,7462
53o,695659494,130040672,1271872234,0.362648,7462
63o,693662773,126183313,1277726314,0.360776,7461
32s,694128063,121342843,1282101494,0.359844,7462
43o,672613963,129193193,1295765244,0.351459,7462
72o,665146081,120541920,1311884399,0.345836,7462
52o,654312693,129665137,1313594570,0.342846,7462
62o,651897304,125706786,1319968310,0.340751,7461
42o,631734409,129308773,1336529218,0.331998,7462
32o,613318625,128529945,1355723830,0.323032,7462
